LocationType,Location,Children in Immigrant Families,TimeFrame,DataFormat,Data
State,Connecticut,Children in U.S.-born families,2013,Currency,89600
State,Connecticut,Children in immigrant families,2002-2004,Currency,61600
State,Connecticut,Children in U.S.-born families,2002-2004,Currency,71100
State,Connecticut,Children in immigrant families,2008,Currency,74200
State,Connecticut,Children in U.S.-born families,2008,Currency,85600
State,Connecticut,Children in U.S.-born families,2001-2003,Currency,68900
State,Connecticut,Children in immigrant families,2001-2003,Currency,64600
State,Connecticut,Children in immigrant families,2000-2002,Currency,65200
State,Connecticut,Children in U.S.-born families,2000-2002,Currency,67100
State,Connecticut,Children in immigrant families,2007,Currency,71700
State,Connecticut,Children in U.S.-born families,2007,Currency,83300
State,Connecticut,Children in U.S.-born families,2006,Currency,79000
State,Connecticut,Children in immigrant families,2006,Currency,70700
State,Connecticut,Children in immigrant families,2005,Currency,70000
State,Connecticut,Children in U.S.-born families,2005,Currency,76200
State,Delaware,Children in immigrant families,2005,Currency,51100
State,Delaware,Children in U.S.-born families,2005,Currency,61900
State,Delaware,Children in U.S.-born families,2006,Currency,61800
State,Delaware,Children in immigrant families,2006,Currency,57100
State,Delaware,Children in immigrant families,2007,Currency,49000
State,Delaware,Children in U.S.-born families,2007,Currency,62100
State,Delaware,Children in U.S.-born families,2000-2002,Currency,55700
State,Delaware,Children in immigrant families,2000-2002,Currency,55300
State,Delaware,Children in U.S.-born families,2001-2003,Currency,57000
State,Delaware,Children in immigrant families,2001-2003,Currency,57100
State,Delaware,Children in U.S.-born families,2002-2004,Currency,57800
State,Delaware,Children in immigrant families,2002-2004,Currency,59700
State,Delaware,Children in immigrant families,2008,Currency,60300
State,Delaware,Children in U.S.-born families,2008,Currency,66400
State,Delaware,Children in immigrant families,2013,Currency,47400
State,Delaware,Children in U.S.-born families,2013,Currency,64100
State,Delaware,Children in immigrant families,2018,Currency,64700
State,Delaware,Children in U.S.-born families,2018,Currency,71500
State,Delaware,Children in immigrant families,2010,Currency,50200
State,Delaware,Children in U.S.-born families,2010,Currency,64400
State,Delaware,Children in immigrant families,2009,Currency,67000
State,Delaware,Children in U.S.-born families,2009,Currency,62800
State,Delaware,Children in immigrant families,2015,Currency,59800
State,Delaware,Children in U.S.-born families,2015,Currency,69700
State,Delaware,Children in immigrant families,2011,Currency,57400
State,Delaware,Children in U.S.-born families,2011,Currency,63300
State,Delaware,Children in immigrant families,2012,Currency,55400
State,Delaware,Children in U.S.-born families,2012,Currency,66800
State,Delaware,Children in immigrant families,2014,Currency,71700
State,Delaware,Children in U.S.-born families,2014,Currency,69200
State,Delaware,Children in immigrant families,2017,Currency,53300
State,Delaware,Children in U.S.-born families,2017,Currency,72200
State,Delaware,Children in immigrant families,2016,Currency,60800
State,Delaware,Children in U.S.-born families,2016,Currency,71700
State,Delaware,Children in immigrant families,2019,Currency,70300
State,Delaware,Children in U.S.-born families,2019,Currency,85600
State,Delaware,Children in immigrant families,2021,Currency,86100
State,Delaware,Children in U.S.-born families,2021,Currency,82500
City,District of Columbia,Children in immigrant families,2021,Currency,155500
City,District of Columbia,Children in U.S.-born families,2021,Currency,83900
City,District of Columbia,Children in immigrant families,2019,Currency,121700
City,District of Columbia,Children in U.S.-born families,2019,Currency,94100
City,District of Columbia,Children in immigrant families,2016,Currency,74400
City,District of Columbia,Children in U.S.-born families,2016,Currency,61700
City,District of Columbia,Children in immigrant families,2017,Currency,97800
City,District of Columbia,Children in U.S.-born families,2017,Currency,80400
City,District of Columbia,Children in immigrant families,2014,Currency,66900
City,District of Columbia,Children in U.S.-born families,2014,Currency,52600
City,District of Columbia,Children in immigrant families,2012,Currency,75500
City,District of Columbia,Children in U.S.-born families,2012,Currency,50100
City,District of Columbia,Children in immigrant families,2011,Currency,67200
City,District of Columbia,Children in U.S.-born families,2011,Currency,45800
City,District of Columbia,Children in immigrant families,2015,Currency,91300
City,District of Columbia,Children in U.S.-born families,2015,Currency,53400
City,District of Columbia,Children in immigrant families,2009,Currency,55900
City,District of Columbia,Children in U.S.-born families,2009,Currency,40800
City,District of Columbia,Children in immigrant families,2010,Currency,79100
City,District of Columbia,Children in U.S.-born families,2010,Currency,45400
City,District of Columbia,Children in immigrant families,2018,Currency,108000
City,District of Columbia,Children in U.S.-born families,2018,Currency,74900
City,District of Columbia,Children in immigrant families,2013,Currency,61000
City,District of Columbia,Children in U.S.-born families,2013,Currency,48900
City,District of Columbia,Children in immigrant families,2008,Currency,65200
City,District of Columbia,Children in U.S.-born families,2008,Currency,40400
City,District of Columbia,Children in immigrant families,2002-2004,Currency,44000
City,District of Columbia,Children in U.S.-born families,2001-2003,Currency,33200
City,District of Columbia,Children in immigrant families,2001-2003,Currency,45600
City,District of Columbia,Children in immigrant families,2000-2002,Currency,43400
City,District of Columbia,Children in U.S.-born families,2000-2002,Currency,33600
City,District of Columbia,Children in U.S.-born families,2002-2004,Currency,34600
City,District of Columbia,Children in immigrant families,2007,Currency,55700
City,District of Columbia,Children in U.S.-born families,2007,Currency,39400
City,District of Columbia,Children in U.S.-born families,2006,Currency,35300
City,District of Columbia,Children in immigrant families,2006,Currency,60900
City,District of Columbia,Children in immigrant families,2005,Currency,43600
City,District of Columbia,Children in U.S.-born families,2005,Currency,35100
State,Florida,Children in immigrant families,2005,Currency,44200
State,Florida,Children in U.S.-born families,2005,Currency,50100
State,Florida,Children in U.S.-born families,2006,Currency,52000
State,Florida,Children in immigrant families,2006,Currency,48000
State,Florida,Children in immigrant families,2007,Currency,47600
State,Florida,Children in U.S.-born families,2007,Currency,55200
State,Florida,Children in U.S.-born families,2002-2004,Currency,46600
State,Florida,Children in immigrant families,2002-2004,Currency,42200
State,Florida,Children in U.S.-born families,2000-2002,Currency,45200
State,Florida,Children in immigrant families,2000-2002,Currency,40500
State,Florida,Children in immigrant families,2001-2003,Currency,40800
State,Florida,Children in U.S.-born families,2001-2003,Currency,45600
State,Florida,Children in immigrant families,2008,Currency,48900
State,Florida,Children in U.S.-born families,2008,Currency,55300
State,Florida,Children in immigrant families,2013,Currency,45300
State,Florida,Children in U.S.-born families,2013,Currency,51500
State,Florida,Children in immigrant families,2018,Currency,56800
State,Florida,Children in U.S.-born families,2018,Currency,63000
State,Florida,Children in immigrant families,2010,Currency,45200
State,Florida,Children in U.S.-born families,2010,Currency,50200
State,Florida,Children in immigrant families,2009,Currency,45300
State,Florida,Children in U.S.-born families,2009,Currency,50600
State,Florida,Children in immigrant families,2015,Currency,48800
State,Florida,Children in U.S.-born families,2015,Currency,53600
State,Florida,Children in immigrant families,2011,Currency,43100
State,Florida,Children in U.S.-born families,2011,Currency,50300
State,Florida,Children in immigrant families,2012,Currency,42400
State,Florida,Children in U.S.-born families,2012,Currency,51000
State,Florida,Children in immigrant families,2014,Currency,46200
State,Florida,Children in U.S.-born families,2014,Currency,52700
State,Florida,Children in immigrant families,2017,Currency,52300
State,Florida,Children in U.S.-born families,2017,Currency,60100
State,Florida,Children in immigrant families,2016,Currency,50200
State,Florida,Children in U.S.-born families,2016,Currency,57900
State,Florida,Children in immigrant families,2019,Currency,60600
State,Florida,Children in U.S.-born families,2019,Currency,66600
State,Florida,Children in immigrant families,2021,Currency,68000
State,Florida,Children in U.S.-born families,2021,Currency,72700
State,Georgia,Children in immigrant families,2021,Currency,71500
State,Georgia,Children in U.S.-born families,2021,Currency,74400
State,Georgia,Children in immigrant families,2019,Currency,63500
State,Georgia,Children in U.S.-born families,2019,Currency,67800
State,Georgia,Children in immigrant families,2016,Currency,52500
State,Georgia,Children in U.S.-born families,2016,Currency,60500
State,Georgia,Children in immigrant families,2017,Currency,53800
State,Georgia,Children in U.S.-born families,2017,Currency,63100
State,Georgia,Children in immigrant families,2014,Currency,45000
State,Georgia,Children in U.S.-born families,2014,Currency,52600
State,Georgia,Children in immigrant families,2012,Currency,42300
State,Georgia,Children in U.S.-born families,2012,Currency,51400
State,Georgia,Children in immigrant families,2011,Currency,37500
State,Georgia,Children in U.S.-born families,2011,Currency,50700
State,Georgia,Children in immigrant families,2015,Currency,48800
State,Georgia,Children in U.S.-born families,2015,Currency,57100
State,Georgia,Children in immigrant families,2009,Currency,40500
State,Georgia,Children in U.S.-born families,2009,Currency,53000
State,Georgia,Children in immigrant families,2010,Currency,43000
State,Georgia,Children in U.S.-born families,2010,Currency,50800
State,Georgia,Children in immigrant families,2018,Currency,59000
State,Georgia,Children in U.S.-born families,2018,Currency,65300
State,Georgia,Children in immigrant families,2013,Currency,43000
State,Georgia,Children in U.S.-born families,2013,Currency,52400
State,Georgia,Children in immigrant families,2008,Currency,48900
State,Georgia,Children in U.S.-born families,2008,Currency,54900
State,Georgia,Children in U.S.-born families,2001-2003,Currency,46600
State,Georgia,Children in immigrant families,2001-2003,Currency,44400
State,Georgia,Children in immigrant families,2000-2002,Currency,44400
State,Georgia,Children in U.S.-born families,2000-2002,Currency,46000
State,Georgia,Children in immigrant families,2002-2004,Currency,44000
State,Georgia,Children in U.S.-born families,2002-2004,Currency,46600
State,Georgia,Children in immigrant families,2007,Currency,46000
State,Georgia,Children in U.S.-born families,2007,Currency,54900
State,Georgia,Children in U.S.-born families,2006,Currency,51900
State,Georgia,Children in immigrant families,2006,Currency,45600
State,Georgia,Children in immigrant families,2005,Currency,47300
State,Georgia,Children in U.S.-born families,2005,Currency,51000
State,Hawaii,Children in immigrant families,2005,Currency,64000
State,Hawaii,Children in U.S.-born families,2005,Currency,67000
State,Hawaii,Children in U.S.-born families,2006,Currency,70800
State,Hawaii,Children in immigrant families,2006,Currency,66800
State,Hawaii,Children in immigrant families,2007,Currency,69700
State,Hawaii,Children in U.S.-born families,2007,Currency,73500
State,Hawaii,Children in immigrant families,2002-2004,Currency,56400
State,Hawaii,Children in U.S.-born families,2002-2004,Currency,59600
State,Hawaii,Children in immigrant families,2000-2002,Currency,54700
State,Hawaii,Children in U.S.-born families,2000-2002,Currency,57500
State,Hawaii,Children in immigrant families,2001-2003,Currency,54500
State,Hawaii,Children in U.S.-born families,2001-2003,Currency,58400
State,Hawaii,Children in immigrant families,2008,Currency,75900
State,Hawaii,Children in U.S.-born families,2008,Currency,79500
State,Hawaii,Children in immigrant families,2013,Currency,81100
State,Hawaii,Children in U.S.-born families,2013,Currency,82100
State,Hawaii,Children in immigrant families,2018,Currency,95000
State,Hawaii,Children in U.S.-born families,2018,Currency,93200
State,Hawaii,Children in immigrant families,2010,Currency,71400
State,Hawaii,Children in U.S.-born families,2010,Currency,81000
State,Hawaii,Children in immigrant families,2009,Currency,75900
State,Hawaii,Children in U.S.-born families,2009,Currency,73500
State,Hawaii,Children in immigrant families,2015,Currency,78400
State,Hawaii,Children in U.S.-born families,2015,Currency,83400
State,Hawaii,Children in immigrant families,2011,Currency,71000
State,Hawaii,Children in U.S.-born families,2011,Currency,67200
State,Hawaii,Children in immigrant families,2012,Currency,74200
State,Hawaii,Children in U.S.-born families,2012,Currency,75300
State,Hawaii,Children in immigrant families,2014,Currency,75200
State,Hawaii,Children in U.S.-born families,2014,Currency,75300
State,Hawaii,Children in immigrant families,2017,Currency,88900
State,Hawaii,Children in U.S.-born families,2017,Currency,91700
State,Hawaii,Children in immigrant families,2016,Currency,81500
State,Hawaii,Children in U.S.-born families,2016,Currency,87100
State,Hawaii,Children in immigrant families,2019,Currency,98100
State,Hawaii,Children in U.S.-born families,2019,Currency,96900
State,Hawaii,Children in immigrant families,2021,Currency,95900
State,Hawaii,Children in U.S.-born families,2021,Currency,99500
State,Idaho,Children in immigrant families,2021,Currency,64400
State,Idaho,Children in U.S.-born families,2021,Currency,81300
State,Idaho,Children in immigrant families,2019,Currency,58000
State,Idaho,Children in U.S.-born families,2019,Currency,75200
State,Idaho,Children in immigrant families,2016,Currency,47400
State,Idaho,Children in U.S.-born families,2016,Currency,64500
State,Idaho,Children in immigrant families,2017,Currency,44800
State,Idaho,Children in U.S.-born families,2017,Currency,66500
State,Idaho,Children in immigrant families,2014,Currency,40200
State,Idaho,Children in U.S.-born families,2014,Currency,60000
State,Idaho,Children in immigrant families,2012,Currency,41300
