LocationType,Location,PlacementType,TimeFrame,DataFormat,Data
State,Delaware,Supervised independent living,2000,Number,2
State,Delaware,Trial home visit,2000,Number,N.R.
City,District of Columbia,Foster family home - non-relative,2000,Number,1848
City,District of Columbia,Foster family home - relative,2000,Number,342
City,District of Columbia,Group home or institution,2000,Number,641
City,District of Columbia,Pre-adoptive home,2000,Number,12
City,District of Columbia,Runaway,2000,Number,56
City,District of Columbia,Supervised independent living,2000,Number,N.R.
City,District of Columbia,Trial home visit,2000,Number,N.R.
State,Florida,Foster family home - non-relative,2000,Number,12402
State,Florida,Foster family home - relative,2000,Number,15125
State,Florida,Group home or institution,2000,Number,1946
State,Florida,Pre-adoptive home,2000,Number,1282
State,Florida,Runaway,2000,Number,625
State,Florida,Supervised independent living,2000,Number,283
State,Florida,Trial home visit,2000,Number,N.R.
State,Georgia,Foster family home - non-relative,2000,Number,6956
State,Georgia,Foster family home - relative,2000,Number,2055
State,Georgia,Group home or institution,2000,Number,1608
State,Georgia,Pre-adoptive home,2000,Number,536
State,Georgia,Runaway,2000,Number,49
State,Georgia,Supervised independent living,2000,Number,N.R.
State,Georgia,Trial home visit,2000,Number,N.R.
State,Hawaii,Foster family home - non-relative,2000,Number,1254
State,Hawaii,Foster family home - relative,2000,Number,928
State,Hawaii,Group home or institution,2000,Number,133
State,Hawaii,Pre-adoptive home,2000,Number,27
State,Hawaii,Runaway,2000,Number,35
State,Hawaii,Supervised independent living,2000,Number,N.R.
State,Hawaii,Trial home visit,2000,Number,4
State,Idaho,Foster family home - non-relative,2000,Number,680
State,Idaho,Foster family home - relative,2000,Number,99
State,Idaho,Group home or institution,2000,Number,178
State,Idaho,Pre-adoptive home,2000,Number,53
State,Idaho,Runaway,2000,Number,2
State,Idaho,Supervised independent living,2000,Number,1
State,Idaho,Trial home visit,2000,Number,2
State,Illinois,Foster family home - non-relative,2000,Number,11698
State,Illinois,Foster family home - relative,2000,Number,9050
State,Illinois,Group home or institution,2000,Number,3299
State,Illinois,Pre-adoptive home,2000,Number,3240
State,Illinois,Runaway,2000,Number,863
State,Illinois,Supervised independent living,2000,Number,1363
State,Illinois,Trial home visit,2000,Number,41
State,Indiana,Foster family home - non-relative,2000,Number,4101
State,Indiana,Foster family home - relative,2000,Number,1234
State,Indiana,Group home or institution,2000,Number,1554
State,Indiana,Pre-adoptive home,2000,Number,N.R.
State,Indiana,Runaway,2000,Number,80
State,Indiana,Supervised independent living,2000,Number,1
State,Indiana,Trial home visit,2000,Number,469
State,Iowa,Foster family home - non-relative,2000,Number,2650
State,Iowa,Foster family home - relative,2000,Number,38
State,Iowa,Group home or institution,2000,Number,1965
State,Iowa,Pre-adoptive home,2000,Number,286
State,Iowa,Runaway,2000,Number,2
State,Iowa,Supervised independent living,2000,Number,94
State,Iowa,Trial home visit,2000,Number,N.R.
State,Kansas,Foster family home - non-relative,2000,Number,3098
State,Kansas,Foster family home - relative,2000,Number,876
State,Kansas,Group home or institution,2000,Number,914
State,Kansas,Pre-adoptive home,2000,Number,241
State,Kansas,Runaway,2000,Number,151
State,Kansas,Supervised independent living,2000,Number,86
State,Kansas,Trial home visit,2000,Number,1066
State,Kentucky,Foster family home - non-relative,2000,Number,3179
State,Kentucky,Foster family home - relative,2000,Number,571
State,Kentucky,Group home or institution,2000,Number,2029
State,Kentucky,Pre-adoptive home,2000,Number,183
State,Kentucky,Runaway,2000,Number,N.R.
State,Kentucky,Supervised independent living,2000,Number,55
State,Kentucky,Trial home visit,2000,Number,N.R.
State,Louisiana,Foster family home - non-relative,2000,Number,3194
State,Louisiana,Foster family home - relative,2000,Number,658
State,Louisiana,Group home or institution,2000,Number,1271
State,Louisiana,Pre-adoptive home,2000,Number,9
State,Louisiana,Runaway,2000,Number,53
State,Louisiana,Supervised independent living,2000,Number,11
State,Louisiana,Trial home visit,2000,Number,209
State,Maine,Foster family home - non-relative,2000,Number,2013
State,Maine,Foster family home - relative,2000,Number,119
State,Maine,Group home or institution,2000,Number,377
State,Maine,Pre-adoptive home,2000,Number,174
State,Maine,Runaway,2000,Number,12
State,Maine,Supervised independent living,2000,Number,120
State,Maine,Trial home visit,2000,Number,115
State,Maryland,Foster family home - non-relative,2000,Number,3755
State,Maryland,Foster family home - relative,2000,Number,4983
State,Maryland,Group home or institution,2000,Number,2822
State,Maryland,Pre-adoptive home,2000,Number,492
State,Maryland,Runaway,2000,Number,67
State,Maryland,Supervised independent living,2000,Number,117
State,Maryland,Trial home visit,2000,Number,715
State,Massachusetts,Foster family home - non-relative,2000,Number,5889
State,Massachusetts,Foster family home - relative,2000,Number,1972
State,Massachusetts,Group home or institution,2000,Number,2106
State,Massachusetts,Pre-adoptive home,2000,Number,472
State,Massachusetts,Runaway,2000,Number,226
State,Massachusetts,Supervised independent living,2000,Number,323
State,Massachusetts,Trial home visit,2000,Number,98
State,Michigan,Foster family home - non-relative,2000,Number,8908
State,Michigan,Foster family home - relative,2000,Number,5923
State,Michigan,Group home or institution,2000,Number,3605
State,Michigan,Pre-adoptive home,2000,Number,1056
State,Michigan,Runaway,2000,Number,5
State,Michigan,Supervised independent living,2000,Number,535
State,Michigan,Trial home visit,2000,Number,N.R.
State,Minnesota,Foster family home - non-relative,2000,Number,4190
State,Minnesota,Foster family home - relative,2000,Number,1420
State,Minnesota,Group home or institution,2000,Number,2430
State,Minnesota,Pre-adoptive home,2000,Number,439
State,Minnesota,Runaway,2000,Number,6
State,Minnesota,Supervised independent living,2000,Number,22
State,Minnesota,Trial home visit,2000,Number,N.R.
State,Mississippi,Foster family home - non-relative,2000,Number,1117
State,Mississippi,Foster family home - relative,2000,Number,1089
State,Mississippi,Group home or institution,2000,Number,746
State,Mississippi,Pre-adoptive home,2000,Number,45
State,Mississippi,Runaway,2000,Number,7
State,Mississippi,Supervised independent living,2000,Number,28
State,Mississippi,Trial home visit,2000,Number,258
State,Missouri,Foster family home - non-relative,2000,Number,4945
State,Missouri,Foster family home - relative,2000,Number,3184
State,Missouri,Group home or institution,2000,Number,2423
State,Missouri,Pre-adoptive home,2000,Number,1369
State,Missouri,Runaway,2000,Number,204
State,Missouri,Supervised independent living,2000,Number,204
State,Missouri,Trial home visit,2000,Number,734
State,Montana,Foster family home - non-relative,2000,Number,1197
State,Montana,Foster family home - relative,2000,Number,708
State,Montana,Group home or institution,2000,Number,274
State,Montana,Pre-adoptive home,2000,Number,N.R.
State,Montana,Runaway,2000,Number,N.R.
State,Montana,Supervised independent living,2000,Number,1
State,Montana,Trial home visit,2000,Number,N.R.
State,Nebraska,Foster family home - non-relative,2000,Number,2126
State,Nebraska,Foster family home - relative,2000,Number,693
State,Nebraska,Group home or institution,2000,Number,1527
State,Nebraska,Pre-adoptive home,2000,Number,68
State,Nebraska,Runaway,2000,Number,114
State,Nebraska,Supervised independent living,2000,Number,35
State,Nebraska,Trial home visit,2000,Number,1103
State,Nevada,Foster family home - non-relative,2000,Number,240
State,Nevada,Foster family home - relative,2000,Number,48
State,Nevada,Group home or institution,2000,Number,22
State,Nevada,Pre-adoptive home,2000,Number,1
State,Nevada,Runaway,2000,Number,1
State,Nevada,Supervised independent living,2000,Number,N.R.
State,Nevada,Trial home visit,2000,Number,N.R.
State,New Hampshire,Foster family home - non-relative,2000,Number,857
State,New Hampshire,Foster family home - relative,2000,Number,127
State,New Hampshire,Group home or institution,2000,Number,321
State,New Hampshire,Pre-adoptive home,2000,Number,N.R.
State,New Hampshire,Runaway,2000,Number,N.R.
State,New Hampshire,Supervised independent living,2000,Number,6
State,New Hampshire,Trial home visit,2000,Number,N.R.
State,New Jersey,Foster family home - non-relative,2000,Number,6182
State,New Jersey,Foster family home - relative,2000,Number,708
State,New Jersey,Group home or institution,2000,Number,2156
State,New Jersey,Pre-adoptive home,2000,Number,265
State,New Jersey,Runaway,2000,Number,N.R.
State,New Jersey,Supervised independent living,2000,Number,167
State,New Jersey,Trial home visit,2000,Number,N.R.
State,New Mexico,Foster family home - non-relative,2000,Number,1027
State,New Mexico,Foster family home - relative,2000,Number,304
State,New Mexico,Group home or institution,2000,Number,205
State,New Mexico,Pre-adoptive home,2000,Number,325
State,New Mexico,Runaway,2000,Number,1
State,New Mexico,Supervised independent living,2000,Number,50
State,New Mexico,Trial home visit,2000,Number,N.R.
State,New York,Foster family home - non-relative,2000,Number,25034
State,New York,Foster family home - relative,2000,Number,10162
State,New York,Group home or institution,2000,Number,8726
State,New York,Pre-adoptive home,2000,Number,167
State,New York,Runaway,2000,Number,N.R.
State,New York,Supervised independent living,2000,Number,3
State,New York,Trial home visit,2000,Number,2554
State,North Carolina,Foster family home - non-relative,2000,Number,5364
State,North Carolina,Foster family home - relative,2000,Number,1868
State,North Carolina,Group home or institution,2000,Number,1864
State,North Carolina,Pre-adoptive home,2000,Number,377
State,North Carolina,Runaway,2000,Number,549
State,North Carolina,Supervised independent living,2000,Number,27
State,North Carolina,Trial home visit,2000,Number,788
State,North Dakota,Foster family home - non-relative,2000,Number,513
State,North Dakota,Foster family home - relative,2000,Number,151
State,North Dakota,Group home or institution,2000,Number,341
State,North Dakota,Pre-adoptive home,2000,Number,115
State,North Dakota,Runaway,2000,Number,1
State,North Dakota,Supervised independent living,2000,Number,N.R.
State,North Dakota,Trial home visit,2000,Number,N.R.
State,Ohio,Foster family home - non-relative,2000,Number,12393
State,Ohio,Foster family home - relative,2000,Number,3251
State,Ohio,Group home or institution,2000,Number,2719
State,Ohio,Pre-adoptive home,2000,Number,900
State,Ohio,Runaway,2000,Number,477
State,Ohio,Supervised independent living,2000,Number,147
State,Ohio,Trial home visit,2000,Number,391
State,Oklahoma,Foster family home - non-relative,2000,Number,3922
State,Oklahoma,Foster family home - relative,2000,Number,2473
State,Oklahoma,Group home or institution,2000,Number,1589
State,Oklahoma,Pre-adoptive home,2000,Number,344
State,Oklahoma,Runaway,2000,Number,30
State,Oklahoma,Supervised independent living,2000,Number,23
State,Oklahoma,Trial home visit,2000,Number,25
State,Oregon,Foster family home - non-relative,2000,Number,4459
State,Oregon,Foster family home - relative,2000,Number,1910
State,Oregon,Group home or institution,2000,Number,710
State,Oregon,Pre-adoptive home,2000,Number,472
State,Oregon,Runaway,2000,Number,451
State,Oregon,Supervised independent living,2000,Number,34
State,Oregon,Trial home visit,2000,Number,1152
State,Pennsylvania,Foster family home - non-relative,2000,Number,11480
State,Pennsylvania,Foster family home - relative,2000,Number,3649
State,Pennsylvania,Group home or institution,2000,Number,5554
State,Pennsylvania,Pre-adoptive home,2000,Number,427
State,Pennsylvania,Runaway,2000,Number,67
State,Pennsylvania,Supervised independent living,2000,Number,276
State,Pennsylvania,Trial home visit,2000,Number,178
State,Rhode Island,Foster family home - non-relative,2000,Number,750
State,Rhode Island,Foster family home - relative,2000,Number,509
State,Rhode Island,Group home or institution,2000,Number,824
State,Rhode Island,Pre-adoptive home,2000,Number,35
State,Rhode Island,Runaway,2000,Number,112
State,Rhode Island,Supervised independent living,2000,Number,72
State,Rhode Island,Trial home visit,2000,Number,N.R.
State,South Carolina,Foster family home - non-relative,2000,Number,2710
State,South Carolina,Foster family home - relative,2000,Number,240
State,South Carolina,Group home or institution,2000,Number,868
State,South Carolina,Pre-adoptive home,2000,Number,274
State,South Carolina,Runaway,2000,Number,189
State,South Carolina,Supervised independent living,2000,Number,69
State,South Carolina,Trial home visit,2000,Number,170
State,South Dakota,Foster family home - non-relative,2000,Number,630
State,South Dakota,Foster family home - relative,2000,Number,223
State,South Dakota,Group home or institution,2000,Number,300
State,South Dakota,Pre-adoptive home,2000,Number,41
State,South Dakota,Runaway,2000,Number,1
State,South Dakota,Supervised independent living,2000,Number,2
State,South Dakota,Trial home visit,2000,Number,16
State,Tennessee,Foster family home - non-relative,2000,Number,4445
State,Tennessee,Foster family home - relative,2000,Number,348
State,Tennessee,Group home or institution,2000,Number,3012
State,Tennessee,Pre-adoptive home,2000,Number,380
State,Tennessee,Runaway,2000,Number,710
State,Tennessee,Supervised independent living,2000,Number,88
State,Tennessee,Trial home visit,2000,Number,694
State,Texas,Foster family home - non-relative,2000,Number,8575
State,Texas,Foster family home - relative,2000,Number,2789
State,Texas,Group home or institution,2000,Number,4667
State,Texas,Pre-adoptive home,2000,Number,866
State,Texas,Runaway,2000,Number,243
State,Texas,Supervised independent living,2000,Number,19
State,Texas,Trial home visit,2000,Number,873
State,Utah,Foster family home - non-relative,2000,Number,264
State,Utah,Foster family home - relative,2000,Number,59
State,Utah,Group home or institution,2000,Number,412
State,Utah,Pre-adoptive home,2000,Number,862
State,Utah,Runaway,2000,Number,42
State,Utah,Supervised independent living,2000,Number,22
State,Utah,Trial home visit,2000,Number,144
State,Vermont,Foster family home - non-relative,2000,Number,721
State,Vermont,Foster family home - relative,2000,Number,136
State,Vermont,Group home or institution,2000,Number,227
State,Vermont,Pre-adoptive home,2000,Number,160
State,Vermont,Runaway,2000,Number,16
State,Vermont,Supervised independent living,2000,Number,27
State,Vermont,Trial home visit,2000,Number,102
State,Virginia,Foster family home - non-relative,2000,Number,4282
State,Virginia,Foster family home - relative,2000,Number,227
State,Virginia,Group home or institution,2000,Number,1398
State,Virginia,Pre-adoptive home,2000,Number,357
State,Virginia,Runaway,2000,Number,125
State,Virginia,Supervised independent living,2000,Number,88
State,Virginia,Trial home visit,2000,Number,233
State,Washington,Foster family home - non-relative,2000,Number,5245
State,Washington,Foster family home - relative,2000,Number,2636
State,Washington,Group home or institution,2000,Number,715
State,Washington,Pre-adoptive home,2000,Number,118
State,Washington,Runaway,2000,Number,194
State,Washington,Supervised independent living,2000,Number,12
State,Washington,Trial home visit,2000,Number,1
State,West Virginia,Foster family home - non-relative,2000,Number,1958
State,West Virginia,Foster family home - relative,2000,Number,132
State,West Virginia,Group home or institution,2000,Number,1025
State,West Virginia,Pre-adoptive home,2000,Number,175
State,West Virginia,Runaway,2000,Number,9
State,West Virginia,Supervised independent living,2000,Number,60
State,West Virginia,Trial home visit,2000,Number,29
State,Wisconsin,Foster family home - non-relative,2000,Number,6334
State,Wisconsin,Foster family home - relative,2000,Number,2457
State,Wisconsin,Group home or institution,2000,Number,1152
State,Wisconsin,Pre-adoptive home,2000,Number,219
State,Wisconsin,Runaway,2000,Number,11
State,Wisconsin,Supervised independent living,2000,Number,2
State,Wisconsin,Trial home visit,2000,Number,6
State,Wyoming,Foster family home - non-relative,2000,Number,287
State,Wyoming,Foster family home - relative,2000,Number,119
State,Wyoming,Group home or institution,2000,Number,362
State,Wyoming,Pre-adoptive home,2000,Number,22
State,Wyoming,Runaway,2000,Number,5
State,Wyoming,Supervised independent living,2000,Number,20
State,Wyoming,Trial home visit,2000,Number,N.R.
Territory,Puerto Rico,Foster family home - non-relative,2000,Number,N.A.
Territory,Puerto Rico,Foster family home - relative,2000,Number,N.A.
Territory,Puerto Rico,Group home or institution,2000,Number,N.A.
Territory,Puerto Rico,Pre-adoptive home,2000,Number,N.A.
Territory,Puerto Rico,Runaway,2000,Number,N.A.
Territory,Puerto Rico,Supervised independent living,2000,Number,N.A.
Territory,Puerto Rico,Trial home visit,2000,Number,N.A.
Territory,Virgin Islands,Foster family home - non-relative,2000,Number,N.A.
Territory,Virgin Islands,Foster family home - relative,2000,Number,N.A.
Territory,Virgin Islands,Group home or institution,2000,Number,N.A.
Territory,Virgin Islands,Pre-adoptive home,2000,Number,N.A.
Territory,Virgin Islands,Runaway,2000,Number,N.A.
Territory,Virgin Islands,Supervised independent living,2000,Number,N.A.
Territory,Virgin Islands,Trial home visit,2000,Number,N.A.
Territory,Virgin Islands,Trial home visit,2000,Percent,N.A.
Territory,Virgin Islands,Supervised independent living,2000,Percent,N.A.
Territory,Virgin Islands,Runaway,2000,Percent,N.A.
Territory,Virgin Islands,Pre-adoptive home,2000,Percent,N.A.
Territory,Virgin Islands,Group home or institution,2000,Percent,N.A.
Territory,Virgin Islands,Foster family home - relative,2000,Percent,N.A.
Territory,Virgin Islands,Foster family home - non-relative,2000,Percent,N.A.
Territory,Puerto Rico,Trial home visit,2000,Percent,N.A.
Territory,Puerto Rico,Supervised independent living,2000,Percent,N.A.
Territory,Puerto Rico,Runaway,2000,Percent,N.A.
Territory,Puerto Rico,Pre-adoptive home,2000,Percent,N.A.
Territory,Puerto Rico,Group home or institution,2000,Percent,N.A.
Territory,Puerto Rico,Foster family home - relative,2000,Percent,N.A.
Territory,Puerto Rico,Foster family home - non-relative,2000,Percent,N.A.
State,Wyoming,Trial home visit,2000,Percent,N.R.
State,Wyoming,Supervised independent living,2000,Percent,0.02
State,Wyoming,Runaway,2000,Percent,0.01
State,Wyoming,Pre-adoptive home,2000,Percent,0.03
State,Wyoming,Group home or institution,2000,Percent,0.44
State,Wyoming,Foster family home - relative,2000,Percent,0.15
State,Wyoming,Foster family home - non-relative,2000,Percent,0.35
State,Wisconsin,Trial home visit,2000,Percent,<.5%
State,Wisconsin,Supervised independent living,2000,Percent,<.5%
State,Wisconsin,Runaway,2000,Percent,<.5%
State,Wisconsin,Pre-adoptive home,2000,Percent,0.02
State,Wisconsin,Group home or institution,2000,Percent,0.11
State,Wisconsin,Foster family home - relative,2000,Percent,0.24
State,Wisconsin,Foster family home - non-relative,2000,Percent,0.62
State,West Virginia,Trial home visit,2000,Percent,0.01
State,West Virginia,Supervised independent living,2000,Percent,0.02
State,West Virginia,Runaway,2000,Percent,<.5%
State,West Virginia,Pre-adoptive home,2000,Percent,0.05
State,West Virginia,Group home or institution,2000,Percent,0.3
State,West Virginia,Foster family home - relative,2000,Percent,0.04
State,West Virginia,Foster family home - non-relative,2000,Percent,0.58
State,Washington,Trial home visit,2000,Percent,<.5%
State,Washington,Supervised independent living,2000,Percent,<.5%
State,Washington,Runaway,2000,Percent,0.02
State,Washington,Pre-adoptive home,2000,Percent,0.01
State,Washington,Group home or institution,2000,Percent,0.08
State,Washington,Foster family home - relative,2000,Percent,0.3
State,Washington,Foster family home - non-relative,2000,Percent,0.59
State,Virginia,Trial home visit,2000,Percent,0.03
State,Virginia,Supervised independent living,2000,Percent,0.01
State,Virginia,Runaway,2000,Percent,0.02
State,Virginia,Pre-adoptive home,2000,Percent,0.05
State,Virginia,Group home or institution,2000,Percent,0.21
State,Virginia,Foster family home - relative,2000,Percent,0.03
State,Virginia,Foster family home - non-relative,2000,Percent,0.64
State,Vermont,Trial home visit,2000,Percent,0.07
State,Vermont,Supervised independent living,2000,Percent,0.02
State,Vermont,Runaway,2000,Percent,0.01
State,Vermont,Pre-adoptive home,2000,Percent,0.12
State,Vermont,Group home or institution,2000,Percent,0.16
State,Vermont,Foster family home - relative,2000,Percent,0.1
State,Vermont,Foster family home - non-relative,2000,Percent,0.52
State,Utah,Trial home visit,2000,Percent,0.08
State,Utah,Supervised independent living,2000,Percent,0.01
State,Utah,Runaway,2000,Percent,0.02
State,Utah,Pre-adoptive home,2000,Percent,0.48
State,Utah,Group home or institution,2000,Percent,0.23
State,Utah,Foster family home - relative,2000,Percent,0.03
State,Utah,Foster family home - non-relative,2000,Percent,0.15
State,Texas,Trial home visit,2000,Percent,0.05
State,Texas,Supervised independent living,2000,Percent,<.5%
State,Texas,Runaway,2000,Percent,0.01
State,Texas,Pre-adoptive home,2000,Percent,0.05
State,Texas,Group home or institution,2000,Percent,0.26
State,Texas,Foster family home - relative,2000,Percent,0.15
State,Texas,Foster family home - non-relative,2000,Percent,0.48
State,Tennessee,Trial home visit,2000,Percent,0.07
State,Tennessee,Supervised independent living,2000,Percent,0.01
State,Tennessee,Runaway,2000,Percent,0.07
State,Tennessee,Pre-adoptive home,2000,Percent,0.04
State,Tennessee,Group home or institution,2000,Percent,0.31
State,Tennessee,Foster family home - relative,2000,Percent,0.04
State,Tennessee,Foster family home - non-relative,2000,Percent,0.46
State,South Dakota,Trial home visit,2000,Percent,0.01
State,South Dakota,Supervised independent living,2000,Percent,<.5%
State,South Dakota,Runaway,2000,Percent,<.5%
State,South Dakota,Pre-adoptive home,2000,Percent,0.03
State,South Dakota,Group home or institution,2000,Percent,0.25
State,South Dakota,Foster family home - relative,2000,Percent,0.18
State,South Dakota,Foster family home - non-relative,2000,Percent,0.52
State,South Carolina,Trial home visit,2000,Percent,0.04
State,South Carolina,Supervised independent living,2000,Percent,0.02
State,South Carolina,Runaway,2000,Percent,0.04
State,South Carolina,Pre-adoptive home,2000,Percent,0.06
State,South Carolina,Group home or institution,2000,Percent,0.19
State,South Carolina,Foster family home - relative,2000,Percent,0.05
State,South Carolina,Foster family home - non-relative,2000,Percent,0.6
State,Rhode Island,Trial home visit,2000,Percent,N.R.
State,Rhode Island,Supervised independent living,2000,Percent,0.03
State,Rhode Island,Runaway,2000,Percent,0.05
State,Rhode Island,Pre-adoptive home,2000,Percent,0.02
State,Rhode Island,Group home or institution,2000,Percent,0.36
State,Rhode Island,Foster family home - relative,2000,Percent,0.22
State,Rhode Island,Foster family home - non-relative,2000,Percent,0.33
State,Pennsylvania,Trial home visit,2000,Percent,0.01
State,Pennsylvania,Supervised independent living,2000,Percent,0.01
State,Pennsylvania,Runaway,2000,Percent,<.5%
State,Pennsylvania,Pre-adoptive home,2000,Percent,0.02
State,Pennsylvania,Group home or institution,2000,Percent,0.26
State,Pennsylvania,Foster family home - relative,2000,Percent,0.17
State,Pennsylvania,Foster family home - non-relative,2000,Percent,0.53
State,Oregon,Trial home visit,2000,Percent,0.13
State,Oregon,Supervised independent living,2000,Percent,<.5%
State,Oregon,Runaway,2000,Percent,0.05
State,Oregon,Pre-adoptive home,2000,Percent,0.05
State,Oregon,Group home or institution,2000,Percent,0.08
State,Oregon,Foster family home - relative,2000,Percent,0.21
State,Oregon,Foster family home - non-relative,2000,Percent,0.49
State,Oklahoma,Trial home visit,2000,Percent,<.5%
State,Oklahoma,Supervised independent living,2000,Percent,<.5%
State,Oklahoma,Runaway,2000,Percent,<.5%
State,Oklahoma,Pre-adoptive home,2000,Percent,0.04
State,Oklahoma,Group home or institution,2000,Percent,0.19
State,Oklahoma,Foster family home - relative,2000,Percent,0.29
State,Oklahoma,Foster family home - non-relative,2000,Percent,0.47
State,Ohio,Trial home visit,2000,Percent,0.02
State,Ohio,Supervised independent living,2000,Percent,0.01
State,Ohio,Runaway,2000,Percent,0.02
State,Ohio,Pre-adoptive home,2000,Percent,0.04
State,Ohio,Group home or institution,2000,Percent,0.13
State,Ohio,Foster family home - relative,2000,Percent,0.16
State,Ohio,Foster family home - non-relative,2000,Percent,0.61
State,North Dakota,Trial home visit,2000,Percent,N.R.
State,North Dakota,Supervised independent living,2000,Percent,N.R.
State,North Dakota,Runaway,2000,Percent,<.5%
State,North Dakota,Pre-adoptive home,2000,Percent,0.1
State,North Dakota,Group home or institution,2000,Percent,0.3
State,North Dakota,Foster family home - relative,2000,Percent,0.13
State,North Dakota,Foster family home - non-relative,2000,Percent,0.46
State,North Carolina,Trial home visit,2000,Percent,0.07
State,North Carolina,Supervised independent living,2000,Percent,<.5%
State,North Carolina,Runaway,2000,Percent,0.05
State,North Carolina,Pre-adoptive home,2000,Percent,0.03
State,North Carolina,Group home or institution,2000,Percent,0.17
State,North Carolina,Foster family home - relative,2000,Percent,0.17
State,North Carolina,Foster family home - non-relative,2000,Percent,0.49
State,New York,Trial home visit,2000,Percent,0.05
State,New York,Supervised independent living,2000,Percent,<.5%
State,New York,Runaway,2000,Percent,N.R.
State,New York,Pre-adoptive home,2000,Percent,<.5%
State,New York,Group home or institution,2000,Percent,0.19
State,New York,Foster family home - relative,2000,Percent,0.22
State,New York,Foster family home - non-relative,2000,Percent,0.54
State,New Mexico,Trial home visit,2000,Percent,N.R.
State,New Mexico,Supervised independent living,2000,Percent,0.03
State,New Mexico,Runaway,2000,Percent,<.5%
State,New Mexico,Pre-adoptive home,2000,Percent,0.17
State,New Mexico,Group home or institution,2000,Percent,0.11
State,New Mexico,Foster family home - relative,2000,Percent,0.16
State,New Mexico,Foster family home - non-relative,2000,Percent,0.54
State,New Jersey,Trial home visit,2000,Percent,N.R.
State,New Jersey,Supervised independent living,2000,Percent,0.02
State,New Jersey,Runaway,2000,Percent,N.R.
State,New Jersey,Pre-adoptive home,2000,Percent,0.03
State,New Jersey,Group home or institution,2000,Percent,0.23
State,New Jersey,Foster family home - relative,2000,Percent,0.07
State,New Jersey,Foster family home - non-relative,2000,Percent,0.65
State,New Hampshire,Trial home visit,2000,Percent,N.R.
State,New Hampshire,Supervised independent living,2000,Percent,<.5%
State,New Hampshire,Runaway,2000,Percent,N.R.
State,New Hampshire,Pre-adoptive home,2000,Percent,N.R.
State,New Hampshire,Group home or institution,2000,Percent,0.24
State,New Hampshire,Foster family home - relative,2000,Percent,0.1
State,New Hampshire,Foster family home - non-relative,2000,Percent,0.65
State,Nevada,Trial home visit,2000,Percent,N.R.
State,Nevada,Supervised independent living,2000,Percent,N.R.
State,Nevada,Runaway,2000,Percent,<.5%
